# LogicCommandManager::createCommand (0x7c41d8) table.
# Range 201-542 (gaps unmapped), 1000 -> null. Bodies pending reverse.
201,LogicChangeAvatarNameCommand
202,LogicDiamondsAddedCommand
203,LogicGiveDeliveryItemsCommand
204,LogicDayChangedCommand
205,LogicServerCommand
206,LogicAddNotificationCommand
207,LogicChangeResourcesCommand
208,LogicTransactionsRevokedCommand
209,LogicKeyPoolChangedCommand
210,LogicIAPChangedCommand
211,LogicOffersChangedCommand
212,LogicPlayerDataChangedCommand
213,LogicInviteBlockingChangedCommand
214,LogicGemNameChangeStateChangedCommand
215,LogicSetSupportedCreatorCommand
216,LogicCooldownExpiredCommand
217,LogicProLeagueSeasonChangedCommand
218,LogicBrawlPassSeasonChangedCommand
219,LogicBrawlPassUnlockedCommand
220,LogicHeroWinQuestsChangedCommand
221,LogicTeamChatMuteStateChangedCommand
222,LogicRankedSeasonChangedCommand
223,LogicCooldownAddedCommand
224,LogicSetESportsHubNotificationCommand
500,LogicGatchaCommand
503,LogicClaimDailyRewardCommand
505,LogicSetPlayerThumbnailCommand
506,LogicSelectSkinCommand
507,LogicUnlockSkinCommand
508,LogicChangeControlModeCommand
509,LogicPurchaseDoubleCoinsCommand
511,LogicCommand
512,LogicToggleInGameHintsCommand
514,LogicDeleteNotificationCommand
515,LogicClearShopTickersCommand
517,LogicClaimRankUpRewardCommand
519,LogicPurchaseOfferCommand
520,LogicLevelUpCommand
521,LogicPurchaseHeroLvlUpMaterialCommand
522,LogicHeroSeenCommand
523,LogicClaimAdRewardCommand
524,LogicVideoStartedCommand
525,LogicSelectCharacterCommand
526,LogicUnlockFreeSkinsCommand
527,LogicSetPlayerNameColorCommand
528,LogicViewInboxNotificationCommand
529,LogicSelectStarPowerCommand
530,LogicSetPlayerAgeCommand
531,LogicCancelPurchaseOfferCommand
532,LogicItemSeenCommand
533,LogicQuestsSeenCommand
534,LogicPurchaseBrawlPassCommand
535,LogicClaimTailRewardCommand
536,LogicPurchaseBrawlPassProgressCommand
537,LogicVanityItemSeenCommand
538,LogicSelectEmoteCommand
539,LogicBrawlPassAutoCollectWarningSeenCommand
540,LogicPurchaseChallengeLivesCommand
541,LogicClearESportsHubNotificationCommand
542,LogicSelectGroupSkinCommand
