address,name,size
0x6c4d78,_ZN6Effect17setSwfFadeOutTimeEi,0x8
0x6c4d80,_ZL13utf8TextCloneP5UTextPKS_aP10UErrorCode,0xa8
0x6c4e28,_ZN22KeepAliveServerMessage6decodeEv,0x4
0x6c4e2c,_ZN22CharacterEditorManager6updateEv,0x4
0x6c4e30,_ZNK8HeroList12scrollToHeroEPK18LogicCharacterData,0xec
0x6c4f1c,_ZNK10GameConfig11hasCmdParamERK6String,0x58
0x6c4f74,_ZNSt6__ndk110__function6__funcIZN11AndroidMain16onSurfaceChangedEiiE3$_1NS_9allocatorIS3_EEFvvEEclEv,0x15c
0x6c50d0,_ZN21AllianceStreamMessage6decodeEv,0x1d0
0x6c52a0,_ucase_addPropertyStarts_58,0x28
0x6c52c8,_ZN6icu_5810UnicodeSet10complementEv,0x10c
0x6c53d4,_ZNKSt6__ndk110__function6__funcIZN11scTaskQueue3runIZN7GLImage6createEPKhi9ImageWrap11ImageFilterE3$_3EENS_13invoke_resultIT_JEE4typeESB_EUlvE_NS_9allocatorISE_EEFvvEE7__cloneEPNS0_6__baseISH_EE,0x18
0x6c53ec,_ZN16DropGUIContainer23addGameSelectableButtonEPKcbP20SelectableButtonList,0xd4
0x6c54c0,_ZN21LogicAreaEffectServer16setPreyOnTheWeakEii,0x8
0x6c54c8,_ZN15MovieClipHelper12hasMovieClipERK6StringS2_,0x38
0x6c5500,_ZN15LogicStringUtil14isValidLongStrERK6Stringii,0xd0
0x6c55d0,_nti_free_formatter,0xb0
0x6c5680,_ZN12TitanWebViewD2Ev,0x58
0x6c56d8,_ZN17MatchMakingPlayer6encodeEP10ByteStream,0x50
0x6c5728,_Java_com_supercell_titan_GameApp_setTencentShareResult,0x40
0x6c5768,_ZN15ProLeagueScreen6addBtnEP16DropGUIContainerRK6String,0x40
0x6c57a8,_ZNK7PageGUI13getPageItemAtEi,0x10
0x6c57b8,_ZN7rg_etc110etc1_block11pack_color4ERKNS_13color_quad_u8Ebj,0x7c
0x6c5834,_ZN5lzham12symbol_codec22put_bits_align_to_byteEv,0x40
0x6c5874,_ZNK7SCWFile19debugPrintHierarchyEP4Node,0x5c8
0x6c5e3c,_ZN8InStream13setDecryptionEb,0xc
0x6c5e48,_ZN10HomeScreen6updateEff,0x7a0
0x6c65e8,_ZN23LogicCharacterClientOwn40stopMovementWithClientPredictionGameOverEP21LogicBattleModeClient,0x88
0x6c6670,_ZN5Stage14touchCancelledEi,0xb0
0x6c6720,_ZN11EmoteButtonD0Ev,0x50
0x6c6770,_ZN26RankedTeamSelectionManager16getCurrentPlayerEv,0x18
0x6c6788,_ZN13PlayerProfile7getStatEi,0x40
0x6c67c8,_ZN20QuickChatStreamEntry14removeTargetIdEv,0x10
0x6c67d8,_ZL13compose_indicPK31hb_ot_shape_normalize_context_tjjPj,0xb0
0x6c6888,_ZN10HomeScreen22playerThumbnailChangedEv,0x50
0x6c68d8,_ZN25AccountIdentifiersMessage18getServiceNodeTypeEv,0x8
0x6c68e0,_ZN34LogicPurchaseChallengeLivesCommand10canExecuteEPK13LogicHomeMode,0xd4
0x6c69b4,_ZN17LogicSkinConfData8setModelERK6String,0x14
0x6c69c8,_ZN18TeamChatControllerD2Ev,0x64
0x6c6a2c,_ZN9LogicDataC2EP6CSVRowP14LogicDataTable,0xb8
0x6c6ae4,_ZNK19LogicResourceBundle17isPremiumCurrencyEv,0x34
0x6c6b18,_ZN13SceneRendererC2Ev,0x5f4
0x6c710c,_JNI_OnLoad,0x28
0x6c7134,_ZN10InboxPopupC2Ei,0x2bc
